Year,Rank,Artist,Song,Song_genre,Genre,relevant_genres,primary_genre
2011,50,Nicki Minaj,Moment 4 Life,Moment 4 Life,"['Hip-Hop', 'rap', 'hip hop', 'female vocalists', 'rnb']","['Hip-Hop', 'rap', 'hip hop', 'rnb']",hip hop
2011,51,Dr. Dre,I Need A Doctor,I Need A Doctor,"['rap', 'Eminem', 'Hip-Hop', 'epic', '2011']","['rap', 'Hip-Hop']",rap
2011,52,Nelly,Just A Dream,Just A Dream,"['Hip-Hop', 'Nelly', 'rnb', 'hip hop', '2010']","['Hip-Hop', 'rnb', 'hip hop']",hip hop
2011,53,Kelly Rowland,Motivation,Motivation,"['rnb', 'Kelly Rowland', 'Lil Wayne', 'pop', 'collaborations']","['rnb', 'pop']",r&b
2011,55,Christina Perri,Jar Of Hearts,Jar Of Hearts,"['female vocalists', 'pop', 'Love', 'singer-songwriter', 'sad']",['pop'],pop
2011,56,Wiz Khalifa,Roll Up,Roll Up,"['Hip-Hop', 'rap', 'Wiz Khalifa', 'hip hop', '2011']","['Hip-Hop', 'rap', 'hip hop']",hip hop
2011,57,LMFAO,Sexy And I Know It,Sexy And I Know It,"['dance', 'lmfao', 'pop', 'electronic', 'Hip-Hop']","['pop', 'Hip-Hop']",pop
2011,58,Far*East Movement,Rocketeer,Rocketeer,"['pop', 'electronic', 'dance', 'chillout', 'far east movement']",['pop'],pop
2011,59,Kanye West,All Of The Lights,All Of The Lights,"['Hip-Hop', 'Kanye West', 'hip hop', 'rap', 'Rihanna']","['Hip-Hop', 'hip hop', 'rap']",hip hop
2011,60,Britney Spears,Hold It Against Me,Hold It Against Me,"['pop', 'dance', 'Britney Spears', '2011', 'sexy']",['pop'],pop
2011,61,Usher,More,More,"['dance', 'rnb', 'pop', 'Usher', 'redone']","['rnb', 'pop']",r&b
2011,62,Avril Lavigne,What The Hell,What The Hell,"['pop rock', 'pop', 'avril lavigne', 'female vocalists', 'rock']","['pop', 'rock']",pop
2011,63,Tinie Tempah,Written In The Stars,Written In The Stars,"['Hip-Hop', 'pop', 'male vocalists', '2010s', 'Need to get']","['Hip-Hop', 'pop']",hip hop
2011,64,Trey Songz,Bottoms Up,Bottoms Up,"['Hip-Hop', 'rnb', '2010', 'hip hop', 'rap']","['Hip-Hop', 'rnb', 'hip hop', 'rap']",hip hop
2011,66,The Script,For The First Time,For The First Time,"['rock', 'indie', 'irish', 'The Script', 'pop']","['rock', 'indie', 'pop']",rock
2011,67,Blake Shelton,Honey Bee,Honey Bee,"['country', 'Blake Shelton', 'new country', 'great song', '2011']",['country'],country
